Year;Date;Month;Region;Ocurrence
1986;01-01-1986;MAYO;XI;0
1986;01-01-1986;MAYO;XII;0
1986;01-01-1986;JUNIO;III;0
1986;01-01-1986;JUNIO;IV;0
1986;01-01-1986;JUNIO;V;0
1986;01-01-1986;JUNIO;RM;0
1986;01-01-1986;JUNIO;VI;0
1986;01-01-1986;JUNIO;VII;0
1986;01-01-1986;JUNIO;VIII;0
1986;01-01-1986;JUNIO;IX;0
1986;01-01-1986;JUNIO;XIV;0
1986;01-01-1986;JUNIO;X;0
1986;01-01-1986;JUNIO;XI;0
1986;01-01-1986;JUNIO;XII;0
1987;01-01-1987;JULIO;III;0
1987;01-01-1987;JULIO;IV;0
1987;01-01-1987;JULIO;V;0
1987;01-01-1987;JULIO;RM;0
1987;01-01-1987;JULIO;VI;0
1987;01-01-1987;JULIO;VII;0
1987;01-01-1987;JULIO;VIII;0
1987;01-01-1987;JULIO;IX;0
1987;01-01-1987;JULIO;XIV;0
1987;01-01-1987;JULIO;X;0
1987;01-01-1987;JULIO;XI;0
1987;01-01-1987;JULIO;XII;0
1987;01-01-1987;AGOSTO;III;0
1987;01-01-1987;AGOSTO;IV;0
1987;01-01-1987;AGOSTO;V;0
1987;01-01-1987;AGOSTO;RM;0
1987;01-01-1987;AGOSTO;VI;0
1987;01-01-1987;AGOSTO;VII;0
1987;01-01-1987;AGOSTO;VIII;0
1987;01-01-1987;AGOSTO;IX;0
1987;01-01-1987;AGOSTO;XIV;0
1987;01-01-1987;AGOSTO;X;0
1987;01-01-1987;AGOSTO;XI;0
1987;01-01-1987;AGOSTO;XII;0
1987;01-01-1987;SEPTIEMBRE;III;0
1987;01-01-1987;SEPTIEMBRE;IV;0
1987;01-01-1987;SEPTIEMBRE;V;0
1987;01-01-1987;SEPTIEMBRE;RM;0
1987;01-01-1987;SEPTIEMBRE;VI;0
1987;01-01-1987;SEPTIEMBRE;VII;0
1987;01-01-1987;SEPTIEMBRE;VIII;0
1987;01-01-1987;SEPTIEMBRE;IX;0
1987;01-01-1987;SEPTIEMBRE;XIV;0
1987;01-01-1987;SEPTIEMBRE;X;0
1987;01-01-1987;SEPTIEMBRE;XI;0
1987;01-01-1987;SEPTIEMBRE;XII;0
1987;01-01-1987;OCTUBRE;III;0
1987;01-01-1987;OCTUBRE;IV;0
1987;01-01-1987;OCTUBRE;V;3
1987;01-01-1987;OCTUBRE;RM;27
1987;01-01-1987;OCTUBRE;VI;0
1987;01-01-1987;OCTUBRE;VII;3
1987;01-01-1987;OCTUBRE;VIII;42
1987;01-01-1987;OCTUBRE;IX;3
1987;01-01-1987;OCTUBRE;XIV;0
1987;01-01-1987;OCTUBRE;X;0
1987;01-01-1987;OCTUBRE;XI;6
1987;01-01-1987;OCTUBRE;XII;3
1987;01-01-1987;NOVIEMBRE;III;0
1987;01-01-1987;NOVIEMBRE;IV;2
1987;01-01-1987;NOVIEMBRE;V;95
1987;01-01-1987;NOVIEMBRE;RM;129
1987;01-01-1987;NOVIEMBRE;VI;2
1987;01-01-1987;NOVIEMBRE;VII;11
1987;01-01-1987;NOVIEMBRE;VIII;44
1987;01-01-1987;NOVIEMBRE;IX;2
1987;01-01-1987;NOVIEMBRE;XIV;0
1987;01-01-1987;NOVIEMBRE;X;0
1987;01-01-1987;NOVIEMBRE;XI;8
1987;01-01-1987;NOVIEMBRE;XII;7
1987;01-01-1987;DICIEMBRE;III;0
1987;01-01-1987;DICIEMBRE;IV;12
1987;01-01-1987;DICIEMBRE;V;278
1987;01-01-1987;DICIEMBRE;RM;159
1987;01-01-1987;DICIEMBRE;VI;18
1987;01-01-1987;DICIEMBRE;VII;35
1987;01-01-1987;DICIEMBRE;VIII;178
1987;01-01-1987;DICIEMBRE;IX;38
1987;01-01-1987;DICIEMBRE;XIV;15
1987;01-01-1987;DICIEMBRE;X;36
1987;01-01-1987;DICIEMBRE;XI;32
1987;01-01-1987;DICIEMBRE;XII;0
1987;01-01-1987;ENERO;III;0
1987;01-01-1987;ENERO;IV;18
1987;01-01-1987;ENERO;V;294
1987;01-01-1987;ENERO;RM;92
1987;01-01-1987;ENERO;VI;62
1987;01-01-1987;ENERO;VII;65
1987;01-01-1987;ENERO;VIII;450
1987;01-01-1987;ENERO;IX;140
